,Word,Count,Weight,Weight_Abs
1704,cysts,507,-2.207226104207931,2.207226104207931
9028,jab,25,-2.200725539604838,2.200725539604838
9238,instructor,24,-2.200725539604838,2.200725539604838
9643,newlywed,22,-2.200725539604838,2.200725539604838
9000,vag,25,-2.196765138388741,2.196765138388741
10801,cheers,17,2.18753164481968,2.18753164481968
7623,tambocor,36,2.18753164481968,2.18753164481968
7335,palmetto,38,2.18753164481968,2.18753164481968
11453,azulfidine,15,2.18753164481968,2.18753164481968
4183,insertion,116,-2.1742922825366824,2.1742922825366824
4161,lubrication,118,-2.1653236125539217,2.1653236125539217
9421,strands,23,-2.156273777034004,2.156273777034004
10374,brest,19,-2.156273777034004,2.156273777034004
5994,parlodel,58,-2.156273777034004,2.156273777034004
5073,triphasil,80,-2.156273777034004,2.156273777034004
12078,phenomenon,13,2.138741480650248,2.138741480650248
11920,headache's,14,2.138741480650248,2.138741480650248
11608,clomipramine,15,2.138741480650248,2.138741480650248
9352,bastard,23,2.1243527431981484,2.1243527431981484
4361,makeup,107,-2.1192325053536547,2.1192325053536547
1127,hormones,966,-2.1176589409062245,2.1176589409062245
11013,activation,16,2.113423672665958,2.113423672665958
8290,football,30,2.113423672665958,2.113423672665958
9625,clitoris,22,-2.109753761399111,2.109753761399111
10312,thryoid,19,-2.109753761399111,2.109753761399111
10308,dude,19,2.0979194861299932,2.0979194861299932
6790,she'd,44,-2.0856562098200504,2.0856562098200504
3475,altace,161,2.074202959512677,2.074202959512677
7460,smear,37,-2.060963597229679,2.060963597229679
5712,daughter's,63,-2.060963597229679,2.060963597229679
2497,mircette,288,-2.060963597229679,2.060963597229679
6848,blemishes,44,-2.060963597229679,2.060963597229679
7545,menapause,36,-2.060963597229679,2.060963597229679
7722,meclizine,35,-2.060963597229679,2.060963597229679
3133,girlfriend,195,2.058698772976712,2.058698772976712
10385,macro,19,-2.0567882258191985,2.0567882258191985
1781,oncologist,475,-2.0559510554061347,2.0559510554061347
2403,tricor,304,2.0553598717111967,2.0553598717111967
5883,labia,60,-2.044156478913297,2.044156478913297
6655,lubricant,46,-2.044156478913297,2.044156478913297
6928,jawline,43,-2.035645789245389,2.035645789245389
10693,chron's,18,2.0333809649924217,2.0333809649924217
11704,vegas,14,2.0333809649924217,2.0333809649924217
10087,devils,20,2.0333809649924217,2.0333809649924217
9428,opiods,23,2.0333809649924217,2.0333809649924217
8272,sustenna,30,2.0333809649924217,2.0333809649924217
9801,youtube,21,2.0333809649924217,2.0333809649924217
11802,zombies,14,2.0333809649924217,2.0333809649924217
9746,gsk,21,2.0333809649924217,2.0333809649924217
6494,watson,49,2.0333809649924217,2.0333809649924217
12444,obama,13,2.0333809649924217,2.0333809649924217
12289,lactulose,13,2.0333809649924217,2.0333809649924217
12291,chelation,13,2.0333809649924217,2.0333809649924217
10552,sjs,18,2.0333809649924217,2.0333809649924217
10882,prinivil,17,2.0333809649924217,2.0333809649924217
11888,simvastin,14,2.0333809649924217,2.0333809649924217
8035,amaryl,32,2.0333809649924217,2.0333809649924217
10335,christian,19,2.0333809649924217,2.0333809649924217
11088,malady,16,2.0333809649924217,2.0333809649924217
6846,nucynta,44,2.0333809649924217,2.0333809649924217
12155,software,13,2.0333809649924217,2.0333809649924217
8025,waight,32,2.0333809649924217,2.0333809649924217
12178,progressivly,13,2.0333809649924217,2.0333809649924217
6135,modern,55,2.0333809649924217,2.0333809649924217
7745,maxzide,34,2.0333809649924217,2.0333809649924217
12179,repairing,13,2.0333809649924217,2.0333809649924217
12447,bogus,13,2.0333809649924217,2.0333809649924217
