,Word,Count,Weight,Weight_Abs
1917,godsend,431,0.008769130323195972,0.008769130323195972
813,hrs,1547,0.008869085343520152,0.008869085343520152
5491,al,69,-0.00888295153787069,0.00888295153787069
4553,surprisingly,99,0.008999200495613209,0.008999200495613209
3479,withdrawing,161,0.008999200495613209,0.008999200495613209
2885,drastic,226,0.009146617021272554,0.009146617021272554
4450,bet,103,-0.009484376011190555,0.009484376011190555
190,tried,9157,-0.009550654647621884,0.009550654647621884
2114,functioning,376,-0.009692932516539457,0.009692932516539457
9223,incidentally,24,-0.009692932516539457,0.009692932516539457
8863,musculoskeletal,26,-0.009692932516539457,0.009692932516539457
7109,prednizone,41,-0.009692932516539457,0.009692932516539457
11804,radiate,14,-0.009692932516539457,0.009692932516539457
8656,irratible,27,-0.009692932516539457,0.009692932516539457
9185,sends,24,-0.009692932516539457,0.009692932516539457
9096,eradicated,25,-0.009692932516539457,0.009692932516539457
8701,mouse,27,-0.009692932516539457,0.009692932516539457
12386,fuss,13,-0.009692932516539457,0.009692932516539457
9191,sonogram,24,-0.009692932516539457,0.009692932516539457
7746,hypertensive,34,-0.009692932516539457,0.009692932516539457
666,looking,2042,-0.009692932516539457,0.009692932516539457
9060,unwellness,25,-0.009692932516539457,0.009692932516539457
9680,capful,22,-0.009692932516539457,0.009692932516539457
8593,excema,28,-0.009692932516539457,0.009692932516539457
1793,refused,470,-0.009692932516539457,0.009692932516539457
9543,instruction,22,-0.009692932516539457,0.009692932516539457
9567,refreshing,22,-0.009692932516539457,0.009692932516539457
9618,caregiver,22,-0.009692932516539457,0.009692932516539457
3604,gag,152,0.009711451237974247,0.009711451237974247
1226,choice,838,0.00975695894471235,0.00975695894471235
7242,polyp,39,0.009819881707042406,0.009819881707042406
5074,clogged,80,0.009819881707042406,0.009819881707042406
7943,aide,33,0.009819881707042406,0.009819881707042406
9512,htn,22,0.010015270531423197,0.010015270531423197
2531,alleviate,284,-0.010140860855495771,0.010140860855495771
793,move,1601,-0.010192961374776013,0.010192961374776013
5059,pit,80,0.010227136183290447,0.010227136183290447
3129,battle,195,0.010292359863717526,0.010292359863717526
2293,turning,330,0.010429611267328453,0.010429611267328453
3092,clue,199,-0.010433399044263146,0.010433399044263146
2319,row,324,0.010527372534392423,0.010527372534392423
1609,depressant,553,0.01059639801172339,0.01059639801172339
1619,concern,547,0.010614207989942255,0.010614207989942255
2089,warn,381,-0.010624638537539723,0.010624638537539723
11682,iced,15,0.010688330287571629,0.010688330287571629
922,ear,1305,0.010706887989386543,0.010706887989386543
1586,apart,567,-0.010721210242105374,0.010721210242105374
1890,seven,440,0.010755898356246484,0.010755898356246484
4104,scratch,121,0.010815071704587845,0.010815071704587845
16,is,92176,0.010815235814840563,0.010815235814840563
